sim_id,statistic,observed,expected,variance,p_value,tumour
121,516.766657294549,0.914970754489441,-6.25003906274414e-06,3.13495556787399e-06,0,T2
122,534.97616144915,0.947212177356095,-6.25003906274414e-06,3.13495575688291e-06,0,T2
123,533.709508726718,0.944970012020422,-6.25003906274414e-06,3.13495937584956e-06,0,T2
124,539.13610647366,0.954576965076744,-6.25003906274414e-06,3.1349509597941e-06,0,T2
125,531.197886543147,0.94051956329437,-6.25003906274414e-06,3.13493659970362e-06,0,T2
126,494.949943516562,0.876339992032995,-6.25003906274414e-06,3.13493758943277e-06,0,T2
127,508.391297770847,0.900140140252323,-6.25003906274414e-06,3.13494605752121e-06,0,T2
128,547.350810764477,0.969121393659685,-6.25003906274414e-06,3.13494865296207e-06,0,T2
129,464.361626251923,0.822177142405611,-6.25003906274414e-06,3.13490766114821e-06,0,T2
130,539.882215786322,0.955899007283649,-6.25003906274414e-06,3.1349574961229e-06,0,T2
131,519.693981264624,0.920152891251368,-6.25003906274414e-06,3.13494925686251e-06,0,T2
132,505.016785902038,0.894166085888207,-6.25003906274414e-06,3.13495153900592e-06,0,T2
133,538.478398453257,0.953413632699305,-6.25003906274414e-06,3.13495879742236e-06,0,T2
134,539.339833052527,0.954939068028169,-6.25003906274414e-06,3.13496007889839e-06,0,T2
135,518.211373124046,0.91752398588856,-6.25003906274414e-06,3.13492307921423e-06,0,T2
136,526.20718023527,0.931686388465292,-6.25003906274414e-06,3.13495844445128e-06,0,T2
137,489.086472167486,0.865959803494798,-6.25003906274414e-06,3.1349486683021e-06,0,T2
138,533.717243457414,0.944983658623265,-6.25003906274414e-06,3.13495905492327e-06,0,T2
139,526.468429839729,0.932148357711769,-6.25003906274414e-06,3.13495444609356e-06,0,T2
140,535.807313428306,0.948684538787522,-6.25003906274414e-06,3.13496064649557e-06,0,T2
141,531.483572643303,0.941027038698551,-6.25003906274414e-06,3.13494757112501e-06,0,T2
142,536.169480090334,0.949322546232965,-6.25003906274414e-06,3.13493925878294e-06,0,T2
143,542.721195351699,0.960925628926233,-6.25003906274414e-06,3.13495735276706e-06,0,T2
144,531.1287136135,0.940399606976065,-6.25003906274414e-06,3.13495339815713e-06,0,T2
145,493.455972646818,0.873696424850138,-6.25003906274414e-06,3.13494922233263e-06,0,T2
146,519.770096733527,0.920288500526415,-6.25003906274414e-06,3.13495498545038e-06,0,T2
147,492.566230240557,0.872120089881762,-6.25003906274414e-06,3.13494220608888e-06,0,T2
148,503.845932319343,0.892090268050227,-6.25003906274414e-06,3.13493236199967e-06,0,T2
149,505.585012977599,0.895172262095255,-6.25003906274414e-06,3.13495213457782e-06,0,T2
150,535.910282235435,0.948866559288492,-6.25003906274414e-06,3.13495870238654e-06,0,T2
151,531.57388556649,0.941188683473053,-6.25003906274414e-06,3.13495915354574e-06,0,T2
152,506.300275652902,0.896438773859612,-6.25003906274414e-06,3.13495270991879e-06,0,T2
153,536.221820086046,0.949417566705589,-6.25003906274414e-06,3.13495476827148e-06,0,T2
154,500.212083590275,0.885655811967054,-6.25003906274414e-06,3.1349291201859e-06,0,T2
155,539.163584300084,0.95462493181796,-6.25003906274414e-06,3.13494646127022e-06,0,T2
156,531.902923029689,0.941770491956094,-6.25003906274414e-06,3.13495396605873e-06,0,T2
